title,rating,year,wins,nominations,news,reviews
Insider (1999),7.9,1999,28,34,332,501
Free Enterprise (1998),7,1998,4,1,57,101
Gopi (1973),7.1,1973,0,0,0,0
Hollywoodism: Jews\,http://www.imdb.com/title/tt0141163/,5880,video.movie,0,0,0
Drei Szenen mit Ingmar Bergman (1975),6.7,1975,0,0,0,1
Die Sopranos (TV Series 1999–2007),9.3,1999,86,217,3105,307
Chûgoku no chôjin (1998),7.7,1998,4,1,0,31
Big Daddy (1999),6.4,1999,8,11,30,279
Remember the Night (1940),7.8,1940,0,0,19,43
James Bond 007 - Die Welt ist nicht genug (1999),6.4,1999,6,9,416,656
Barney & Friends (TV Series 1992– ),3.6,1992,1,14,113,72
Der Knochenjäger (1999),6.6,1999,0,0,101,386
Thirteen Days (2000),7.3,2000,3,7,111,311
End of Days - Nacht ohne morgen (1999),5.7,1999,1,6,265,516
An jedem verdammten Sonntag (1999),6.8,1999,3,8,247,450
Die Legende von Bagger Vance (2000),6.7,2000,2,10,49,255
Nosferatu\,http://www.imdb.com/title/tt0013442/,5640,video.movie,0,45,206
Der Weg nach Singapur (1940),7.1,1940,0,0,0,20
Happiness (1998),7.8,1998,13,14,302,487
Aa Ab Laut Chalen (1999),5.4,1999,0,0,0,14
Agir roman (1997),7.7,1997,3,1,0,9
Earth (1998),7.8,1998,1,0,2,50
Hot Noon or 12 O'Clock for Sure (1953),6.5,1953,0,0,0,2
Hum Dil De Chuke Sanam (1999),7.6,1999,26,2,156,44
Jeans (1998),6.1,1998,1,0,0,11
Josh - Mein Herz gehört dir (2000),6,2000,2,17,0,10
Der Herr der sieben Meere (1940),7.8,1940,0,0,19,63
Topsy-Turvy - Auf den Kopf gestellt (1999),7.4,1999,12,22,150,194
Alles Routine (1999),7.9,1999,0,0,947,600
Befreiung (1969),8,1969,0,0,0,5
Prehistoric Super Salesman (1969),5.3,1969,0,0,0,0
The Silver Screen: Color Me Lavender (1997),6,1997,0,0,0,7
Die Thomas Crown Affäre (1999),6.8,1999,3,2,263,409
Makellos (1999),6.4,1999,3,3,31,103
Psycho (1998),4.6,1998,3,3,202,578
Dumm gelaufen - Kidnapping für Anfänger (2000),5.6,2000,0,0,5,66
Mein Hund Skip (2000),7,2000,6,4,60,144
Begegnung des Schicksals (1999),5,1999,0,0,29,281
Seul contre tous (1998),7.5,1998,5,5,56,99
Gnadenlos schön (1999),6.5,1999,1,1,116,317
Enigma - Das Geheimnis (2001),6.4,2001,3,5,63,165
I'm Bout It (Video 1997),4.8,1997,0,0,0,10
Unknown Chaplin (TV Mini-Series 1983),8.2,1983,0,3,7,9
Tom Clancys Netforce (TV Movie 1999),5.1,1999,0,2,0,33
The Burning Train (1980),6.7,1980,0,0,10,6
Muppets aus dem All (1999),6.2,1999,0,0,135,98
South Park - Der Film (1999),7.8,1999,6,8,27,920
Beautiful People (1999),6.7,1999,4,4,0,29
Im Fadenkreuz - Allein gegen alle (2001),6.4,2001,1,2,246,402
3 Engel für Charlie (2000),5.5,2000,12,26,1431,636
Impostor - Der Replikant (2001),6.2,2001,0,0,14,199
Rules - Sekunden der Entscheidung (2000),6.3,2000,1,2,56,264
An deiner Seite (1999),5.9,1999,1,3,76,147
Victim of Love (Video 1992),6.3,1992,0,0,0,0
For His Eyes Only (1989),6.7,1989,0,0,0,0
Angel - Jäger der Finsternis (TV Series 1999–2004),8.1,1999,12,42,2249,191
Ghost World (2001),7.5,2001,35,31,304,469
Sleepy Hollow (1999),7.5,1999,22,28,815,971
Summer of Sam (1999),6.6,1999,0,0,63,340
Bump in the Night (TV Series 1994–1995),8.2,1994,0,0,12,9
American Pie: Wie ein Heisser Apfelkuchen (1999),7,1999,9,14,2985,773
The Beach (2000),6.6,2000,0,0,382,538
Bringing Out the Dead - Nächte der Erinnerung (1999),6.8,1999,2,4,133,380
Dil Se - Von ganzem Herzen (1998),7.6,1998,7,2,16,70
Sexo\,http://www.imdb.com/title/tt0164877/,6540,video.movie,6,3,2
Zatôichi abare-himatsuri (1970),7.5,1970,0,0,0,5
Zatôichi kenka-daiko (1968),7.5,1968,0,0,2,8
Zatoichi sekisho yaburi (1964),7.4,1964,0,0,5,4
Ghost Dog - Der Weg des Samurai (1999),7.6,1999,1,7,120,337
Romeo Must Die (2000),6,2000,1,7,106,350
Who Wants to Be a Millionaire (TV Series 1998– ),6.4,1998,16,3,0,11
Bones - Bis auf die Knochen (2001),4,2001,0,0,42,88
East Is East (1999),6.9,1999,15,8,133,160
The Taylor Predicament (1998),6.3,1998,0,0,0,0
Inside Edition (TV Series 1988– ),4.1,1988,0,0,0,4
Dumbo\,http://www.imdb.com/title/tt0033563/,3840,video.movie,2,82,69
The Lady with the Torch (1999),6.4,1999,0,0,0,3
Mulholland Drive (2001),8,2001,42,33,844,1709
Der Graf von Monte Christo (TV Mini-Series 1998),8.1,1998,3,0,5,47
Parkinson (TV Series 1971–2007),7.6,1971,4,8,0,10
Ein gefährliches Unternehmen (1942),6.8,1942,0,0,0,4
Hilfe! Ich bin ein Fisch (2000),5.8,2000,1,7,0,28
À la recherche de Kundun avec Martin Scorsese (1998),7.2,1998,0,0,0,1
Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo\,http://www.imdb.com/title/tt0169858/,5400,video.movie,2,7,0
Der Grinch (2000),5.9,2000,16,29,582,462
Hadashi no Gen 2 (1986),7.2,1986,0,0,0,3
Glauben ist alles! (2000),6.5,2000,2,5,65,254
Genroku Chûshingura (1941),7.5,1941,0,0,3,8
The Thin Pink Line (1998),4.5,1998,0,0,0,2
Bad Boys II (2003),6.5,2003,5,12,383,505
Dollar for the Dead (TV Movie 1998),5.3,1998,0,0,0,21
Gaai tau saat sau (1996),4.4,1996,0,0,0,17
Pehla Nasha (1993),5.6,1993,0,0,0,1
Meine italienische Reise (2001),8.2,2001,4,1,14,23
Juve contre Fantômas (1913),6.6,1913,0,0,2,6
Phantom (1922),7.1,1922,0,0,0,14
Entscheidung in der Sierra (1941),7.6,1941,1,0,31,75
Screening (1998),4.7,1998,0,0,0,0
Magnolia (1999),8,1999,22,35,766,1397
Forever Fabulous (1999),6.9,1999,0,0,0,3
Galaxy Quest - Planlos durchs Weltall (1999),7.3,1999,7,14,521,578
Der Sturm (2000),6.3,2000,4,19,324,764
Aandhi (1975),7.8,1975,2,0,0,9
Ring - Das Original (1998),7.3,1998,6,1,215,396
Bunny (1999),6.9,1999,3,1,0,17
Histoire(s) du cinéma: Le contrôle de l'univers (Video 1998),7.3,1998,0,0,0,1
So grün war mein Tal (1941),7.9,1941,5,5,103,115
Histoire(s) du cinéma: Les signes parmi nous (Video 1998),7.5,1998,0,0,0,1
Histoire(s) du cinéma: Une histoire seule (Video 1989),7.3,1989,0,0,0,2
Die Abenteuer von Pluto Nash (2002),3.7,2002,1,6,76,159
Hardball (2001),6.3,2001,0,0,37,125
Captain Buzz Lightyear - Star Command (Video 2000),5.9,2000,0,0,0,19
Arabian Nights - Abenteuer aus 1001 Nacht (TV Movie 2000),7.5,2000,1,5,4,39
Traffic - Die Macht des Kartells (2000),7.7,2000,73,57,1203,846
I Wake Up Screaming (1941),7.3,1941,0,0,4,65
Cheri-Bibi (1931),,1931,0,0,0,0
Verlorene Liebesmüh' (2000),6.1,2000,0,0,38,98
Family Guy (TV Series 1999– ),8.5,1999,13,49,6333,533
Der 200 Jahre Mann (1999),6.7,1999,1,6,73,338
Ich\,http://www.imdb.com/title/tt0183505/,6960,video.movie,2,72,29
Nicht auflegen! (2002),7.1,2002,0,0,401,613
Ed\,ed edd n eddy tv series,12708,1999,video.tv,6,15
Shang-High Noon (2000),6.6,2000,1,7,113,288
The Legend of Zelda 2: Rinku no bôken (Video Game 1987),7.3,1987,0,0,0,15
In the Navy (1941),7.2,1941,0,0,17,20
Martha Stewart Living (TV Series 1991–2004),5.3,1991,13,47,47,1
Alles über meine Mutter (1999),7.9,1999,49,33,161,220
Little Nicky - Satan Junior (2000),5.3,2000,0,0,20,235
Playboy: The Story of X (Video 1998),6.3,1998,0,0,0,2
Band of Brothers - Wir waren wie Brüder (TV Mini-Series 2001),9.6,2001,22,20,1103,573
Der Fall Mona (2000),5.6,2000,0,0,18,146
Frequency (2000),7.3,2000,2,6,53,494
Zatoichi tekka tabi (1967),7.7,1967,0,0,0,9
Nur noch 60 Sekunden (2000),6.4,2000,6,5,369,487
Lady Be Good (1941),6.5,1941,0,0,3,22
Farscape - Verschollen im All (TV Series 1999–2003),8.4,1999,11,14,292,150
Demented (1980),3.6,1980,0,0,0,14
Golgo 13: Queen Bee (Video 1998),6.3,1998,0,0,0,6
O Brother\,http://www.imdb.com/title/tt0190590/,6360,video.movie,7,46,25
Zatôichi abare tako (1964),7.3,1964,0,0,2,9
Bigfoot (1967),7.3,1967,0,0,0,13
Mutant Man (1996),2,1996,0,0,0,8
Die Falschspielerin (1941),8,1941,2,0,50,103
Sam and Max Hit the Road (Video Game 1993),8.3,1993,0,0,0,8
AFI's 100 Years... 100 Movies: America's Greatest Movies (1998),7,1998,0,0,2,11
Jin-Roh (1999),7.6,1999,5,1,15,55
Ying xiong ben se (1967),7.3,1967,0,0,0,0
Panic (2000),6.8,2000,0,0,33,117
Grasgeflüster (2000),6.9,2000,3,8,142,120
Erin Brockovich (2000),7.3,2000,34,43,607,474
Final Destination (2000),6.8,2000,3,3,1679,656
Saturday Night Live: The Best of Robin Williams (Video 1991),7.2,1991,0,0,0,1
Schmalspurganoven (2000),6.7,2000,1,3,37,184
Die kleinen Füchse (1941),8.2,1941,1,0,47,96
The Big Con (1975),7.1,1975,0,0,0,2
Mission Hill (TV Series 1999–2002),8,1999,0,0,0,37
Der kleine Meisterregisseur (TV Series 1999–2004),8.2,1999,0,0,151,82
Who Wants to Be a Millionaire (TV Series 1999– ),5.8,1999,1,0,0,1
Monkey King - Ein Krieger zwischen den Welten (TV Movie 2001),5.4,2001,0,1,0,41
In the Cut (2003),5.3,2003,1,2,115,349
Love & Basketball (2000),7.1,2000,12,15,27,116
Red Planet (2000),5.6,2000,0,0,222,341
Zoku Zatôichi monogatari (1962),7.4,1962,0,0,6,6
Bank Job (2008),7.3,2008,0,0,342,176
The Human Condition (1999),7.1,1999,0,0,0,1
Rock Star (2001),6.1,2001,0,0,17,186
Monty Python's Fliegender Zirkus (TV Movie 1971),8.2,1971,0,0,0,7
Way of the Gun (2000),6.7,2000,0,0,167,321
Zusammen! (2000),7.5,2000,14,14,5,84
Making 'The Shining' (TV Movie 1980),7.6,1980,0,0,0,18
Eine Nacht bei McCool's (2001),6.1,2001,0,0,25,128
Menschenjagd (1941),7.5,1941,0,0,27,52
The Watcher (2000),5.3,2000,0,0,30,176
Sûpâ Mario Rando (Video Game 1989),7.5,1989,0,0,0,4
Thomas\,http://www.imdb.com/title/tt0205461/,5100,video.movie,0,41,11
MGM: When the Lion Roars (TV Mini-Series 1992),7.2,1992,1,3,0,14
Psycho Beach Party (2000),6.3,2000,3,1,23,91
Ein filmreifer Mord (TV Movie 1999),7,1999,2,2,0,21
Joyride - Spritztour (2001),6.6,2001,0,0,145,329
SpongeBob Schwammkopf (TV Series 1999– ),8.1,1999,38,31,855,254
Hier ist John Doe (1941),7.7,1941,0,0,23,78
Tetris (Video Game 1989),8.2,1989,0,0,0,5
Biwi No. 1 (1999),5.4,1999,5,2,19,10
Fainaru Fantajî IV (Video Game 1991),8.2,1991,0,0,0,14
Getaway (TV Series 1992– ),6.3,1992,1,9,0,0
Clerks (TV Series 2000– ),7.4,2000,0,0,44,88
Der Weg nach Sansibar (1941),7.3,1941,1,0,0,13
"Cinéma\, de notre temps David Cronenberg: I Have to Make the Word Be Flesh (TV Episode 1999)",7.3,1999,0,0,0,1
Dulhe Raja (1998),6.4,1998,1,0,0,6
Goya (1999),6.7,1999,13,9,0,21
102 Dalmatiner (2000),4.8,2000,1,2,8,72
Knockaround Guys (2001),6.1,2001,0,0,21,134
Awake (2007),6.5,2007,1,3,131,186
Prince of Persia (Video Game 1989),8,1989,0,0,0,3
Pearl Harbor (2001),5.9,2001,10,35,975,1966
Cowboy Bebop (TV Series 1998– ),9,1998,0,0,112,153
Chacha Bhatija (1977),5.8,1977,0,0,0,2
Liebesbeziehungen (2000),7.1,2000,11,22,105,50
Sooryavansham (1999),6,1999,0,0,0,10
Dragon Ball Z (TV Series 1989–2003),8.9,1989,0,0,138,112
Maria - Die heilige Mutter Gottes (TV Movie 1999),5.8,1999,0,0,0,23
Eheposse (1941),7.2,1941,0,0,0,4
It's Showtime (2000),6.4,2000,1,9,42,183
Wer wird Millionär? (TV Series 1999– ),6.9,1999,9,3,0,1
Vampire Hunter D: Bloodlust (2000),7.8,2000,0,0,37,96
Dil Kya Kare (1999),5.4,1999,0,0,0,5
Harrison's Flowers (2000),7.2,2000,3,1,0,77
Gangs of New York (2002),7.5,2002,44,62,1067,1128
Deadly Blaze - Heißer als die Hölle (2001),3.1,2001,0,0,0,25
Der Ritt nach Hause (TV Movie 2001),6.9,2001,1,0,8,36
Original Sin (2001),6,2001,0,0,109,178
Family Man - Eine himmlische Entscheidung (2000),6.7,2000,4,6,75,307
Broken Barrier (1952),6.6,1952,0,0,0,0
A Yank in the R.A.F. (1941),6.5,1941,0,0,0,22
Saving Ryan's Privates (1998),5,1998,0,0,0,4
Hey Ram - Augenblicke der Zärtlichkeit (2000),8,2000,5,7,24,46
The Nameless (1999),6,1999,16,5,9,56
The Best of Film Noir (Video 1999),6.6,1999,0,0,0,2
Faust: Love of the Damned (2000),4,2000,4,4,21,67
Reversal (2001),6.7,2001,0,0,0,22
Made (2001),6.5,2001,0,0,14,160
One 2 Ka 4 - Der Babysitter-Cop (2001),5.3,2001,0,0,5,8
Bambi (1942),7.4,1942,3,1,94,119
Spy Kids (2001),5.4,2001,2,10,1745,198
Felix (2000),7,2000,5,2,0,25
Lebenszeichen - Proof of Life (2000),6.2,2000,0,0,88,263
De stilte van het naderen (TV Movie 2000),8,2000,5,0,0,2
Tomei-tengu (1960),,1960,0,0,0,0
Teuflisch (2000),5.9,2000,1,3,97,245
Sweet November - Eine Liebe im Herbst (2001),6.6,2001,0,0,40,269
Mi Rotze Lhiyot Millioner? (TV Series 1999– ),,1999,0,0,0,0
Crocodile Dundee in Los Angeles (2001),4.7,2001,0,0,27,113
Naukar Biwi Ka (1983),6.6,1983,0,0,0,0
The Fast and the Furious (2001),6.6,2001,9,12,1241,952
Crime Is King (2001),5.9,2001,0,0,15,398
Batman of the Future - Der Joker kommt zurück (Video 2000),7.8,2000,3,5,28,66
Chachi 420 (1997),7.4,1997,1,3,10,6
Love Story (1981),6.5,1981,1,0,0,1
Wir müssen zusammenhalten (2000),7.8,2000,15,3,0,61
Der gläserne Schlüssel (1942),7.2,1942,0,0,10,57
Summer Catch (2001),4.9,2001,0,0,40,103
Suzhou River (2000),7.5,2000,6,1,4,25
Dex\,http://www.imdb.com/title/tt0234853/,5220,video.movie,1,5,18
Heimweg (1999),7.9,1999,16,6,44,140
The Filth and the Fury (2000),7.7,2000,3,0,20,62
Der Schneider von Panama (2001),6.1,2001,0,0,51,206
Der Pakt der Wölfe (2001),7.1,2001,7,20,152,511
Replicant (2001),5.3,2001,0,0,9,98
In Which We Serve (1942),7.4,1942,6,1,23,40
The Sinister Saga of Making 'The Stunt Man' (Video 2000),6.3,2000,0,0,0,4
100 Schritte (2000),7.7,2000,15,15,0,10
Devdas (2002),7.6,2002,44,7,275,116
Cats & Dogs - Wie Hund und Katz' (2001),5.2,2001,2,3,257,234
Ohne Worte (2001),4.9,2001,0,0,58,84
Water (2005),7.8,2005,14,12,190,133
Kung Pow: Enter the Fist (2002),6.1,2002,0,0,10,513
History Brought to Life (1950),5.5,1950,0,0,0,2
Arielle\,http://www.imdb.com/title/tt0240684/,4500,video.movie,0,17,2
Der Gentleman-Killer (1942),6.9,1942,0,0,0,23
Sous le sable (2000),7.2,2000,1,8,26,67
Vanity Fair (2004),6.2,2004,1,3,27,142
The Fantastic Four (TV Series 1978– ),5.9,1978,0,0,0,5
Das Halsband der Königin (2001),6.1,2001,0,1,16,58
Alai Payuthey (2000),7.9,2000,1,0,0,12
Hera Pheri (2000),8.5,2000,5,3,113,27
The Hole - Gefangen in der Dunkelheit (2001),6.2,2001,1,3,28,247
Ausgerechnet Wolkenkratzer (1923),8.3,1923,1,1,2,65
Lusting Hours (1967),5.7,1967,0,0,0,2
Va savoir - Keiner weiß mehr (2001),7,2001,3,3,11,51
Bridget Jones - Schokolade zum Frühstück (2001),6.7,2001,9,29,1039,560
Ein Mann sieht rosa (2001),7.1,2001,1,0,4,94
Stuart Little 2 (2002),5.4,2002,1,4,50,66
Gefangen in der Hölle (2001),7.1,2001,3,4,6,163
The Unknown Peter Sellers (2000),7.4,2000,0,0,0,4
Gefährliche Freundschaft (1941),6.9,1941,0,0,4,23
Wet Hot American Summer (2001),6.8,2001,0,0,544,252
A propósito de Buñuel (2000),7.3,2000,0,0,0,1
American Outlaws (2001),5.9,2001,0,0,10,160
Quick Draw McGraw (TV Series 1959–1962),7.2,1962,0,0,0,6
Passwort: Swordfish (2001),6.5,2001,4,6,299,526
Yi yi (2000),8,2000,14,11,26,88
Star Trek: Enterprise (TV Series 2001–2005),7.5,2001,7,29,1187,334
Ich Du Sie - Darlenes Männer (2000),7.1,2000,20,7,4,15
Hadh Kar Di Aapne (2000),5,2000,0,0,0,4
Khubsoorat (1980),7.8,1980,2,0,0,6
Monkey Island 2: LeChuck's Revenge (Video Game 1991),8.5,1991,0,0,0,13
Edges of the Lord (2001),7,2001,1,6,0,38
The Forsaken - Die Nacht ist gierig (2001),5.3,2001,0,0,9,131
Bulletproof Monk - Der kugelsichere Mönch (2003),5.4,2003,0,0,45,174
Besessenheit (1943),7.8,1943,1,0,12,31
James Bond 007 - Stirb an einem anderen Tag (2002),6.1,2002,5,28,863,1155
Jagd auf Mr. Tout (2001),6.4,2001,0,0,0,47
The Musketeer (2001),4.7,2001,0,0,10,284
Heaven (2002),7.2,2002,6,7,82,142
Khiladiyon Ka Khiladi (1996),5.6,1996,2,0,0,10
De l'origine du XXIe siècle (2000),7.5,2000,0,0,0,3
Qurbani (1980),7.1,1980,1,0,0,11
CSI - Den Tätern auf der Spur (TV Series 2000– ),7.9,2000,58,107,1585,224
Donald Duck Goin' Quackers (Video Game 2000),7.4,2000,0,0,0,0
X-Men Evolution - Die Mutanten (TV Series 2000–2003),8,2000,3,6,34,85
Aap Mujhe Achche Lagne Lage (2002),3.1,2002,0,0,3,11
Die werckmeisterschen Harmonien (2000),8.2,2000,5,1,2,51
Pittsburgh (1942),6.6,1942,0,0,12,9
Yu-Gi-Oh! (TV Series 1998–2006),6.6,1998,0,0,0,50
Tödliches Vertrauen (2001),5.5,2001,1,3,45,185
The Trip (2002),7.2,2002,3,1,6,205
Asterix & Obelix: Mission Kleopatra (2002),6.6,2002,1,4,7,57
Har Dil Jo Pyar Karega... (2000),5.1,2000,1,3,0,12
Killing Me Softly (2002),5.4,2002,0,0,82,100
Refugee (2000),5.7,2000,11,10,74,4
Untreu (2002),6.7,2002,5,7,355,521
Vincent Price: The Sinister Image (1987),7.9,1987,0,0,0,3
Das Tribunal (2002),6.3,2002,1,0,41,190
John Q. - Verzweifelte Wut (2002),7,2002,2,8,103,385
Telescope A Talk with Hitchcock (TV Episode 1964),7.9,1964,0,0,0,0
Das Haus der 1000 Leichen (2003),6,2003,6,2,406,903
Long Time Dead (2002),4.9,2002,0,0,10,107
One Hour in Wonderland (1950),7.5,1950,0,0,0,1
Manhattan Love Story (2002),4.9,2002,0,0,244,234
Long Walk Home (2002),7.5,2002,22,22,75,243
Die Grauzone (2001),7.1,2001,1,3,32,102
Hearts in Atlantis (2001),6.9,2001,2,7,43,259
Star Trek - Nemesis (2002),6.4,2002,1,4,168,822
Concorrenza sleale (2001),7,2001,4,11,0,4
Lucía und der Sex (2001),7.3,2001,9,17,65,142
Vasantha Maligai (1972),7.1,1972,0,0,0,1
Allein unter Nachbarn (2000),7.4,2000,20,18,0,27
Die Freibeuterin (1942),6.8,1942,0,0,0,25
A Midsummer Night's Dream (TV Movie 1981),7.6,1981,0,0,0,2
Saturday Night Live: The Best of Dana Carvey (1999),7.4,1999,0,0,0,3
Zubeidaa (2001),6.2,2001,3,13,25,18
Animal - Das Tier im Manne (2001),4.8,2001,0,0,40,128
Return to Babylon (2013),7.1,2013,0,0,0,0
Das Rückgrat des Teufels (2001),7.5,2001,6,7,177,188
Quiz $ Millionaire (TV Series 2000– ),,2000,0,0,0,0
Pokémon 2: Die Macht des Einzelnen (1999),5.6,1999,0,0,2,48
S.W.A.T. - Die Spezialeinheit (2003),6,2003,4,5,256,331
Der stille Amerikaner (2002),7.1,2002,16,7,137,190
S1m0ne (2002),6.1,2002,0,0,133,223
Lammbock (2001),7.4,2001,1,1,0,15
Im Zeichen der Libelle (2002),6,2002,0,0,39,240
Die drei Zeitalter (1923),7.2,1923,0,0,11,21
Ghost Rider (2007),5.2,2007,0,0,2937,666
Lantana (2001),7.4,2001,35,22,69,195
"Cinéma\, de notre temps Une journée d'Andrei Arsenevitch (TV Episode 2000)",8,2000,0,0,0,2
Vanilla Sky (2001),6.9,2001,6,19,534,1223
The Young and the Dead (2000),7.1,2000,0,0,0,4
Kuen sun (2001),4.6,2001,0,0,0,11
Jay und Silent Bob schlagen zurück (2001),6.9,2001,0,0,220,862
David Frost Interviews Richard Nixon (TV Movie 1977),7.6,1977,0,0,0,8
Session 9 (2001),6.6,2001,1,1,341,457
Las dos huerfanitas (1950),7.6,1950,1,0,0,0
Jeepers Creepers - Es ist angerichtet (2001),6,2001,1,4,330,973
Zeruda no densetsu: Kamigami no toraifôsu (Video Game 1991),9,1991,0,0,0,18
Spurwechsel (2002),6.5,2002,0,0,107,343
Joseph - König der Träume (Video 2000),6.5,2000,2,5,0,23
Das Haus am Meer (2001),7.6,2001,3,6,28,356
Lon Chaney: A Thousand Faces (TV Movie 2000),6.7,2000,0,0,0,4
America's Sweethearts (2001),5.7,2001,1,0,88,345
Ritter Jamal - Eine schwarze Komödie (2001),4.6,2001,0,0,67,159
Der Teufel gibt sich die Ehre (1942),7.5,1942,0,0,13,7
Expecting Mercy (2000),5.2,2000,0,0,0,2
The Girl Next Door (2004),6.8,2004,0,0,12,504
Monsoon Wedding (2001),7.4,2001,6,10,225,212
One Hour Photo (2002),6.8,2002,8,14,414,580
Die Entscheidung - Eine wahre Geschichte (2002),7,2002,5,4,153,169
Ein letzter Kuss (2001),7,2001,13,11,0,45
The 71st Annual Academy Awards (1999),5.8,1999,1,7,0,5
The 72nd Annual Academy Awards (2000),6,2000,1,10,0,2
Wake Island (1942),7,1942,4,0,14,19
Extreme Rage (2003),6.1,2003,0,0,86,132
Rush Hour 2 (2001),6.5,2001,10,19,172,391
Avalon (2001),6.6,2001,3,1,25,142
K-19 - Showdown in der Tiefe (2002),6.6,2002,0,0,116,266
The Making of 'Never Cry Wolf' (TV Movie 1983),8.3,1983,0,0,0,1
The One (2001),5.9,2001,0,0,58,288
Adaption. (2002),7.8,2002,53,51,133,694
Yankee Doodle Dandy (1942),7.8,1942,3,5,57,93
Jimmy Neutron: Der mutige Erfinder (2001),6,2001,0,5,19,114
The American Film Institute Salute to Orson Welles (1975),6.7,1975,0,0,0,1
The 67th Annual Academy Awards (1995),6.5,1995,0,6,0,3
Rat uzivo (2000),6.9,2000,0,0,0,7
Seetamalakshmi (1978),7.5,1978,0,0,0,0
The Charlie Rose Show (TV Series 1991– ),7.7,1991,1,3,422,7
Guitar o motta wataridori (1959),6,1959,0,0,0,0
You Were Never Lovelier (1942),7.4,1942,0,0,8,41
Kiss of the Dragon (2001),6.6,2001,0,0,47,244
The Siskel & Ebert 500th Anniversary Special (TV Movie 1989),6.9,1989,0,0,0,1
The 50th Annual Academy Awards (1978),7.8,1978,0,0,0,2
Die letzte Festung (2001),6.9,2001,1,3,67,273
Narc (2002),7.3,2002,1,8,378,204
John Ford (TV Movie 1993),6.7,1993,0,0,0,1
Aashiq (2001),3.8,2001,0,0,0,2
Einsatz im Nordatlantik (1943),7,1943,0,0,3,31
Mongoland (2001),6.9,2001,1,1,0,10
Poolhall Junkies (2002),7,2002,0,0,13,110
Sur mes lèvres (2001),7.4,2001,7,12,48,62
Johnny English (2003),6,2003,0,0,310,280
Comic Relief: The Invasion of the Comic Tomatoes (1993),6.8,1993,0,0,0,1
Glorious Technicolor (TV Movie 1998),7.6,1998,0,0,0,8
Minsaara Kanavu (1997),7,1997,4,1,0,8
Raumschiff Enterprise: Von einem Jahrhundert in das nächste ... (TV Movie 1991),6.6,1991,0,0,0,2
Musa - Der Krieger (2001),7.3,2001,2,1,12,95
Criminal Intent - Verbrechen im Visier (TV Series 2001–2011),7.3,2001,5,16,198,139
Dogtown and Z-Boys (2001),7.7,2001,7,5,54,85
La mala educación (2004),7.5,2004,12,32,180,160
Medal of Honor: Allied Assault (Video Game 2002),8.3,2002,0,0,0,8
Captured on Film: The True Story of Marion Davies (TV Movie 2001),6.8,2001,0,0,0,7
Below (2002),6.2,2002,0,0,0,148
Blueberry und der Fluch der Dämonen (2004),5.2,2004,1,0,29,119
Corregidor (1943),5.3,1943,0,0,0,8
The Scorpion King (2002),5.5,2002,2,3,430,427
Conspiracy Theory: Did We Land on the Moon? (TV Movie 2001),5.8,2001,0,0,0,37
Genug! (2002),5.5,2002,0,0,121,231
Hotel (2001),4.4,2001,0,0,0,76
Once Upon a Mouse (1981),7.3,1981,0,0,0,1
Stanley Kubrick - Ein Leben für den Film (2001),8,2001,1,2,20,32
Hollywood Ending (2002),6.6,2002,0,0,187,144
Gods and Generals (2003),6.3,2003,1,2,51,491
The Real Thing (2002),5,2002,0,0,0,1
Conker's Bad Fur Day (Video Game 2001),8.4,2001,0,0,0,16
O kalyteros mou filos (2001),5.5,2001,0,0,0,4
Neue Abenteuer in Nimmerland (2002),5.8,2002,0,0,13,76
Bad Company (2002),5.6,2002,0,0,15,186
Femme Fatale (2002),6.3,2002,1,1,16,225
Gosford Park (2001),7.3,2001,34,51,574,634
Harold Lloyd - Mädchenscheu (1924),8.1,1924,0,0,5,30
The Fallen Sparrow (1943),6.8,1943,0,0,0,20
Hollywoods Einzelgänger (1990),7,1990,0,0,0,2
Iris (2001),7.1,2001,13,23,157,134
Sladke sanje (2001),7.3,2001,6,1,0,2
Nur mit Dir (2002),7.4,2002,4,2,266,945
O Cinema Falado (1986),5.6,1986,0,0,0,1
Cinemania (2002),7.1,2002,1,1,11,24
Das Haus am Meer - Il Mare (2000),7.8,2000,0,0,5,40
Das Dschungelbuch 2 (2003),5.3,2003,1,9,27,53
Frankenstein Meets the Wolf Man (1943),6.5,1943,0,0,38,88
8 Frauen (2002),7.1,2002,10,25,7,158
Barcelona für ein Jahr (2002),7.3,2002,8,9,44,142
Behind the Scenes: Road to El Dorado (Video 2000),6.4,2000,0,0,0,0
Ball & Chain - Zwei Nieten und sechs Richtige (2002),5.9,2002,0,0,0,15
Lakhon Me Ek (1971),6.7,1971,0,0,0,1
Ich habe den englischen König bedient (2006),7.4,2006,8,8,3,27
Showtime (2002),5.5,2002,1,4,10,162
Julius Caesar (TV Movie 2002),6.8,2002,1,2,22,49
Guadalkanal - Die Hölle im Pazifik (1943),6.9,1943,0,0,0,31
The 70th Annual Academy Awards (1998),6.1,1998,2,4,0,4
Aarzoo (1999),5.1,1999,0,0,0,3
24 - Twenty Four (TV Series 2001–2010),8.5,2001,46,152,383,541
Atanarjuat (2001),7.5,2001,22,11,10,106
Dreamcatcher (2003),5.5,2003,2,2,113,646
Irgendwann in Mexico (2003),6.4,2003,3,4,214,466
Texas Chain Saw Massacre: The Shocking Truth (Video 2000),7.2,2000,0,0,0,5
Kampf in den Wolken (1943),7,1943,0,0,0,25
